NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION
cairo,1.16.0-1,main,,"2D graphics library with support for multiple output devices"
cairo-32,1.16.0-1,multilib,,"2D graphics library with support for multiple output devices"
cairomm,1.12.2-1,main,,"Provides a C++ interface to Cairo"
caja,1.26.1-1,main,,"The file manager for MATE"
caja-actions,1.8.3-1,main,,"Caja actions is an extension for Caja, the MATE file manager"
caja-extensions,1.26.0-1,main,,"A Caja extension"
cantarell-fonts,0.303.1-1,main,,"Cantarell font family"
c-ares,1.18.1-1,main,,"C library for asynchronous DNS requests"
cawbird,1.5-1,main,https://ibboard.co.uk/cawbird/,"Native GTK Twitter client"
cbatticon,1.6.13-1,main,https://github.com/valr/cbatticon,"Lightweight battery icon for the system tray"
cbindgen,0.24.3-1,main,,"A tool for generating C bindings for Rust code"
ccache,4.6.1-1,main,,"A fast compiler cache"
cdparanoia,10.2-1,main,,"CD audio extraction tool"
cdrtools,3.02a09-1,main,,"Original cdrtools supporting CD, DVD and BluRay burning"
cdw,0.8.1-1,main,,"Ncurses CD writer program which uses cdrecord and mkisofs"
celt,0.11.3-1,main,,"Low-latency audio communication codec"
cgit,1.2.3-1,main,https://git.zx2c4.com/cgit,"Git web interface written in C"
chntpw,140201-1,main,,"Offline NT Password Editor - reset passwords in a Windows NT SAM user database file"
chromium-bin,103.0.5060.68.r1002911-1,main,https://chromium.woolyss.com/,"Open source version of Google Chrome web browser (portable ungoogled binary version)"
chrony,4.2-1,main,,"A NTP client"
chrpath,0.16-2,main,,"Chrpath modify the dynamic library load path (rpath and runpath) of compiled programs and libraries"
cifs-utils,6.15-1,main,https://wiki.samba.org/index.php/LinuxCIFS_utils,"CIFS filesystem user-space tools"
ck4up,1.4-1,main,,"Command-line utility to monitor web pages for updates"
clang,14.0.6-1,main,,"Collection of modular and reusable compiler and toolchain technologies"
clipit,1.4.5-1,main,,"Lightweight GTK+ clipboard manager (fork of Parcellite)"
cli-visualizer,1.8-8,main,,"cli-visualizer"
cmake,3.23.3-1,main,,"Modern toolset used for generating Makefiles"
cmark,0.30.2-1,main,,"CommonMark parsing and rendering library and program in C"
cmatrix,2.0-1,main,https://github.com/abishekvashok/cmatrix,"Terminal based 'The Matrix' like implementation"
cmus,2.10.0-1,main,,"Feature-rich ncurses-based music player"
cmusfm,0.4.1-1,main,https://github.com/Arkq/cmusfm,"Last.fm scrobbler for cmus music player "
colord,1.4.6-1,main,,"System activated daemon that maps devices to color profiles"
composer,2.3.10-1,main,https://getcomposer.org/,"Dependency Manager for PHP "
confuse,3.3-1,main,,"C-library for parsing configuration files"
conky,1.12.2-1,main,,"Lightweight system monitor for X"
consolekit2,1.2.4-1,main,,"Framework for keeping track of the various users, sessions, and seats present on a system"
coreutils,9.1-1,main,,"Utilities for showing and setting the basic system characteristics"
cowsay,3.04-1,main,,"Configurable talking cow (and a few other creatures)"
cpio,2.13-2,main,,"Tools for archiving"
cracklib,2.9.7-1,main,,"Library used to enforce strong passwords by comparing user selected passwords to words in chosen word lists"
cronie,1.6.1-1,main,,"Daemon that runs specified programs at scheduled times and related tools"
crypto++,8.6.0-1,main,https://www.cryptopp.com/,"A free C++ class library of cryptographic schemes "
cryptsetup,2.5.0-1,main,,"Used to set up transparent encryption of block devices using the kernel crypto API"
ctemplate,2.4-1,main,https://github.com/olafvdspek/ctemplate,"A library implementing a simple but powerful template language for C++ "
cups,2.4.2-1,main,,"Print spooler and associated utilities"
cups-filters,1.28.15-1,main,,"Backends and filters for CUPS"
curl-32,7.84.0-1,multilib,,"Utility and a library used for transferring files"
curl,7.84.0-2,main,,"Utility and a library used for transferring files"
cwm,7.1-1,main,,"Linux port of the OpenBSD window manager "
cxxopts,3.0.0-1,main,https://github.com/jarro2783/cxxopts,"Lightweight C++ command line option parser"
cython3,0.29.32-1,main,,"C-Extensions for Python3"
dash,0.5.11.5-1,main,,"POSIX compliant shell"
dav1d,1.0.0-1,main,,"dav1d is an AV1 decoder"
db,5.3.28-1,main,,"The Berkeley DB embedded database system"
dbus,1.14.0-1,main,,"Message bus system, a simple way for applications to talk to one another"
dbus-32,1.14.0-1,multilib,,"Message bus system, a simple way for applications to talk to one another"
dbus-glib,0.112-1,main,,"GLib interfaces to the D-Bus API"
dcfldd,1.3.4.1-1,main,,"DCFL (DoD Computer Forensics Lab) dd replacement with hashing"
dconf,0.40.0-1,main,,"Configuration database system"
deadbeef,1.9.1-1,main,,"A GTK+ audio player for GNU/Linux"
deepin-icon-theme,2021.11.24-1,main,,"Deepin Icons "
dejavu-fonts,2.37-3,main,,"Font family based on the Bitstream Vera Fonts with a wider range of characters"
desktop-file-utils,0.26-1,main,,"Command line utilities for working with Desktop entries"
devour,12-1,main,https://github.com/salman-abedin/devour,"Terminal swallower"
dfc,3.1.1-2,main,,"Display file system space usage using graphs and colors"
dhcpcd,9.4.1-1,main,,"An implementation of the DHCP client specified in RFC2131"
dialog,1.3_20220728-1,main,,"A tool to display dialog boxes from shell scripts"
diffutils,3.8-1,main,,"Programs that show the differences between files or directories"
dino,0.3.0-1,main,,"Modern XMPP (Jabber) chat client written in Vala "
discord,0.0.18-1,nonfree,,"All-in-one voice and text chat for gamers that's free and secure"
dkms,3.0.6-1,main,,"Dynamic Kernel Modules System"
dmenu,5.1-1,main,,"A generic menu for X"
dnsmasq,2.86-1,main,http://www.thekelleys.org.uk/dnsmasq/doc.html,"Lightweight, easy to configure DNS forwarder and DHCP server"
docbook2x,0.8.8-2,main,,"A software package that converts DocBook documents into the traditional Unix man page format and the GNU Texinfo format"
docbook-xml,4.5-4,main,,"Document type definitions for verification of XML data files against the DocBook rule set"
docbook-xsl,1.79.2-6,main,,"XML stylesheets for Docbook-xml transformations"
dosfstools,4.2-1,main,,"Various utilities for use with the FAT family of file systems"
double-conversion,3.2.0-1,main,,"Binary-decimal and decimal-binary routines for IEEE doubles"
dropbox,150.4.5000-1,nonfree,,"A free service that lets you bring your photos, docs, and videos anywhere and share them easily"
duktape,2.7.0-1,main,https://duktape.org,"Embeddable Javascript engine"
dunst,1.9.0-1,main,,"Customizable and lightweight notification-daemon"
dwm,6.3-1,main,https://dwm.suckless.org/,"A dynamic window manager for X"
dzen2,20130923-1,main,,"General purpose messaging, notification and menuing program for X11"
e2fsprogs,1.46.5-1,main,,"utilities for handling the ext2, ext3 and ext4 file system"
efibootmgr,18-1,main,,"Manipulate efi boot managers"
efibootmgr-gui,1.0-1,main,https://github.com/Elinvention/efibootmgr-gui,"Manage EFI boot loader entries with this simple GUI."
efivar,38-1,main,,"Tools and library to manipulate EFI variables"
eigen,3.4.0-1,main,,"Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms. "
elfutils,0.187-1,main,,"utilities and libraries for handling ELF files"
elfutils-32,0.187-1,multilib,,"utilities and libraries for handling ELF files"
elinks,0.15.1-1,main,,"An advanced and well-established feature-rich text mode web browser"
emacs,28.1-1,main,,"The extensible, customizable, self-documenting real-time display editor"
enchant,2.3.3-1,main,,"Generic interface into various existing spell checking libraries"
encodings,1.0.6-1,main,,"X.org font encoding files"
engrampa,1.26.0-1,main,,"Archive manipulator for MATE"
eom,1.26.0-1,main,,"An image viewing and cataloging program for MATE"
epdfview,0.1.8-1,main,,"Standalone lightweight PDF document viewer using Poppler and GTK+ libraries"
ethtool,5.18-1,main,,"Utility for controlling network drivers and hardware"
eudev,3.2.11-1,main,,"Programs for dynamic creation of device nodes"
eudev-32,3.2.10-1,multilib,,"Programs for dynamic creation of device nodes"
exa,0.10.1-1,main,,"exa is a modern replacement for ls written in rust"
exfatprogs,1.1.3-1,main,https://github.com/exfatprogs/exfatprogs,"exFAT filesystem userspace utilities for the Linux Kernel exfat driver"
exfat-utils,1.3.0-1,main,https://github.com/relan/exfat,"Utilities for exFAT file system"
exiv2,0.27.5-1,main,,"C++ library and a command line utility for managing image and video metadata"
exo,4.16.4-1,main,,"Support library used in the Xfce desktop"
expat,2.4.8-1,main,https://libexpat.github.io,"A stream oriented C library for parsing XML"
expat-32,2.4.8-1,multilib,,"A stream oriented C library for parsing XML"
extra-cmake-modules,5.68.0-1,main,,"Extra modules and scripts for CMake"
faad2,2.10.0-1,main,,"Decoder for a lossy sound compression scheme specified in MPEG-2 Part 7 and MPEG-4 Part 3 standards"
faenza-icon-theme,1.3.1-1,main,,"Icon theme designed for Equinox GTK theme"
fakeroot,1.29-1,main,https://wiki.debian.org/FakeRoot,"Tool for simulating superuser privileges"
far2l,2.4.0-1,main,https://github.com/elfmz/far2l,"Linux port of FAR Manager v2 (http://farmanager.com/)"
farbfeld,4-1,main,,"A lossless image format"
fbpanel,7.0-1,main,,"Lightweight X11 desktop panel"
